Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Afghanistan,3610.0,7580.0,15800.0,2.1,0.75,6.35,0.18,0.27,0.880562,0.478037
Albania,787.0,2810.0,4120.0,0.0,0.49,2.25,0.74,1.06,2.641683,0.271724
Algeria,6240.0,127000.0,71000.0,30.93,20.33,38.44,22.48,24.97,5.44307,0.412985
Angola,4110.0,24700.0,36100.0,1.84,4.61,7.11,2.41,7.74,2.586921,0.431173
Anguilla,0.48,4.76,26.0,0.0,0.0,0.02,0.0,0.0,2.212629,0.109626
Antigua and Barbuda,23.3,53.4,374.0,0.31,0.06,0.22,0.02,0.0,4.655974,0.245908
Argentina,47300.0,114000.0,197000.0,54.28,35.48,48.79,47.07,19.79,8.519953,0.696025
Armenia,701.0,2000.0,4820.0,1.43,2.04,1.3,0.67,0.43,2.611944,0.347447
Australia,48100.0,125000.0,429000.0,201.73,19.33,90.91,74.49,23.44,26.35903,0.622723
Austria,3770.0,10100.0,75400.0,15.18,8.92,21.66,18.18,6.81,10.49081,0.239833
Azerbaijan,2630.0,18600.0,29400.0,11.75,6.34,6.4,4.4,1.92,5.462015,0.342805
Bahamas,110.0,215.0,3750.0,1.52,0.31,1.06,0.11,0.01,10.94026,0.479645
Bahrain,153.0,5190.0,19800.0,18.8,0.23,3.18,3.88,3.48,19.33491,0.468405
Bangladesh,21700.0,62300.0,120000.0,28.11,10.15,8.66,10.39,8.78,1.311153,0.483999
Barbados,60.4,125.0,1330.0,2.11,0.14,0.43,0.06,0.08,5.394637,0.3497
Belarus,26100.0,19400.0,67700.0,29.7,7.86,11.68,8.55,7.21,11.95442,0.707469
Belgium,8540.0,16800.0,99300.0,19.67,24.67,24.76,23.2,11.49,11.25155,0.275683
Belize,135.0,258.0,948.0,0.22,0.04,0.15,0.02,0.0,3.98403,0.499856
Benin,1700.0,5470.0,5090.0,0.03,0.62,3.42,0.15,0.54,1.259508,0.680092
Bermuda,18.5,23.9,545.0,0.31,0.06,0.22,0.02,0.0,9.292501,0.17387
Bhutan,159.0,1370.0,857.0,0.15,0.03,0.3,0.86,0.62,3.168304,0.450578
Bolivia,6180.0,17000.0,23800.0,3.28,4.35,6.33,2.76,1.19,4.595651,0.792058
Bosnia and Herzegovina,980.0,3890.0,24400.0,14.76,1.49,3.19,2.2,1.59,8.036861,0.818235
Botswana,1600.0,5000.0,4130.0,2.06,0.21,2.05,0.67,0.08,5.137207,0.360535
Brazil,168000.0,473000.0,480000.0,55.11,38.42,200.93,127.88,79.0,5.58822,0.369961
Brunei,136.0,7310.0,5250.0,2.85,0.1,1.34,2.67,0.51,31.7517,0.42975
Bulgaria,2730.0,8840.0,53800.0,30.01,1.93,8.25,4.23,4.56,8.943298,0.56879
Burkina Faso,2330.0,6240.0,16300.0,0.44,0.25,0.97,0.29,0.31,1.501416,0.986422
Burundi,1030.0,997.0,3910.0,0.05,0.03,0.12,0.04,0.05,0.636388,0.81804
